participant,vis,rdirection,sign,visandsign,rbase,approach,jnd
hs7ii74r,stackedline,negative,-1,stackedlinenegative,0.3,below,0.116666667
hs7ii74r,stackedline,negative,-1,stackedlinenegative,0.3,above,0.158333333
hsj2yigu,stackedline,positive,1,stackedlinepositive,0.8,above,0.166666667
hsj2yigu,stackedline,positive,1,stackedlinepositive,0.5,below,0.348333333
hsj2yigu,stackedline,positive,1,stackedlinepositive,0.8,below,0.468333333
hsj2yigu,stackedline,positive,1,stackedlinepositive,0.5,above,0.38
hsku2a4p,donut,negative,-1,donutnegative,0.5,below,0.158333333
hsku2a4p,donut,negative,-1,donutnegative,0.8,below,0.068333333
hsku2a4p,donut,negative,-1,donutnegative,0.5,above,0.213333333
hsku2a4p,donut,negative,-1,donutnegative,0.8,above,0.029166667
hsc3qpfx,stackedarea,negative,-1,stackedareanegative,0.7,below,0.116666667
hsc3qpfx,stackedarea,negative,-1,stackedareanegative,0.7,above,0.065
hsc3qpfx,stackedarea,negative,-1,stackedareanegative,0.4,below,0.395
hsc3qpfx,stackedarea,negative,-1,stackedareanegative,0.4,above,0.273333333
hs4wfhfl,stackedbar,positive,1,stackedbarpositive,0.3,below,0.445
hs4wfhfl,stackedbar,positive,1,stackedbarpositive,0.6,above,0.34
hs4wfhfl,stackedbar,positive,1,stackedbarpositive,0.6,below,0.233333333
hs4wfhfl,stackedbar,positive,1,stackedbarpositive,0.3,above,0.126666667
hrini1rn,scatterplot,positive,1,scatterplotpositive,0.6,above,0.051666667
hrini1rn,scatterplot,positive,1,scatterplotpositive,0.3,below,0.116666667
hrini1rn,scatterplot,positive,1,scatterplotpositive,0.3,above,0.073333333
hrini1rn,scatterplot,positive,1,scatterplotpositive,0.6,below,0.068333333
hsxvadqf,ordered_line,positive,1,ordered_linepositive,0.7,below,0.253333333
hsxvadqf,ordered_line,positive,1,ordered_linepositive,0.4,below,0.321666667
hsxvadqf,ordered_line,positive,1,ordered_linepositive,0.4,above,0.318333333
hsxvadqf,ordered_line,positive,1,ordered_linepositive,0.7,above,0.123333333
hscf4l1q,line,negative,-1,linenegative,0.8,above,0.188333333
hscf4l1q,line,negative,-1,linenegative,0.5,above,0.44625
hscf4l1q,line,negative,-1,linenegative,0.5,below,0.463333333
hscf4l1q,line,negative,-1,linenegative,0.8,below,0.383333333
hskv42en,donut,positive,1,donutpositive,0.3,above,0.478333333
hskv42en,donut,positive,1,donutpositive,0.3,below,0.565
hskv42en,donut,positive,1,donutpositive,0.6,below,0.49
hskv42en,donut,positive,1,donutpositive,0.6,above,0.377916667
hrin8far,scatterplot,positive,1,scatterplotpositive,0.6,below,0.056666667
hrin8far,scatterplot,positive,1,scatterplotpositive,0.3,above,0.066666667
hrin8far,scatterplot,positive,1,scatterplotpositive,0.3,below,0.081666667
hrin8far,scatterplot,positive,1,scatterplotpositive,0.6,above,0.041666667
hs7uzt58,stackedline,negative,-1,stackedlinenegative,0.8,below,0.098333333
hs7uzt58,stackedline,negative,-1,stackedlinenegative,0.8,above,0.03375
hs7uzt58,stackedline,negative,-1,stackedlinenegative,0.5,below,0.116666667
hs7uzt58,stackedline,negative,-1,stackedlinenegative,0.5,above,0.115
hrsk5q2q,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.4,below,0.0375
hrsk5q2q,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.4,above,0.073333333
hrsk5q2q,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.7,below,0.05125
hrsk5q2q,parallelCoordinates,negative,-1,parallelCoordinatesnegative,0.7,above,0.049583333
hskp2i7w,donut,negative,-1,donutnegative,0.3,above,0.111666667
hskp2i7w,donut,negative,-1,donutnegative,0.6,above,0.208333333
hskp2i7w,donut,negative,-1,donutnegative,0.6,below,0.188333333
